StudentLevel,Department,SessionDate,SessionLengthMin,TotalPrompts,TaskType,AI_AssistanceLevel,FinalOutcome,UsedAgain,SatisfactionRating,DayOfWeek,IsWeekend,PromptsPerMinute,EstimatedSessionCost_USD,StudentAge,AcademicPressureScore,GpaImprovement
Undergraduate,Computer Science,2024-11-03,31.2,11,Studying,2,Assignment Completed,True,1.0,Sunday,True,0.35,0.11,23,87,0.22
Undergraduate,Psychology,2024-11-03,13.09,6,Studying,3,Assignment Completed,True,2.0,Sunday,True,0.46,0.06,21,27,0.06
Undergraduate,Business,2024-11-03,19.22,5,Coding,3,Assignment Completed,True,3.3,Sunday,True,0.26,0.05,20,95,0.39
Undergraduate,Unknown,2025-05-06,3.7,4,Coding,3,Assignment Completed,True,3.5,Tuesday,False,0.2,0.01,22,85,0.47
Undergraduate,Psychology,2025-03-18,28.12,9,Writing,3,Assignment Completed,True,2.9,Tuesday,False,0.32,0.09,23,56,0.16
Graduate,Business,2025-01-17,7.54,1,Coding,5,Idea Drafted,True,3.5,Friday,False,0.13,0.01,25,15,0.09
High School,Biology,2024-09-07,14.6,3,Writing,3,Assignment Completed,False,1.9,Saturday,True,0.21,0.03,18,23,0.13
Undergraduate,Unknown,2024-12-26,9.2,3,Writing,5,Assignment Completed,True,3.9,Thursday,False,0.33,0.03,22,70,0.09
Undergraduate,Business,2025-06-18,8.15,1,Brainstorming,3,Assignment Completed,True,3.3,Wednesday,False,0.12,0.01,18,35,0.31
Undergraduate,Math,2025-04-14,5.57,1,Studying,3,Assignment Completed,False,1.4,Monday,False,0.18,0.01,22,51,0.26
High School,Math,2025-04-14,24.52,6,Writing,2,Assignment Completed,False,1.9,Monday,False,0.24,0.06,18,43,0.43
Undergraduate,Psychology,2024-11-07,11.51,5,Coding,3,Assignment Completed,False,3.5,Thursday,False,0.2,0.01,19,86,0.14
Undergraduate,Unknown,2024-07-05,15.47,6,Studying,5,Idea Drafted,True,4.9,Friday,False,0.39,0.06,23,95,0.27
Undergraduate,Business,2024-07-05,24.13,5,Writing,4,Idea Drafted,True,3.7,Sunday,True,0.21,0.05,23,66,0.25
High School,Computer Science,2024-07-05,22.51,8,Writing,3,Assignment Completed,True,4.9,Wednesday,False,0.36,0.08,14,57,0.11
High School,Psychology,2024-07-05,22.16,6,Coding,2,Idea Drafted,True,2.8,Friday,False,0.27,0.06,17,57,0.45
Undergraduate,Business,2025-04-27,6.46,2,Writing,5,Confused,True,5.0,Friday,True,0.31,0.02,19,14,0.49
High School,Biology,2025-04-13,16.7,4,Studying,2,Confused,False,1.2,Sunday,True,0.22,0.04,16,9,0.42
Undergraduate,Unknown,2024-12-08,18.26,4,Studying,5,Assignment Completed,False,4.9,Sunday,Unknown,0.22,0.04,20,51,0.27
High School,Engineering,2024-08-03,19.36,6,Studying,4,Assignment Completed,True,3.5,Saturday,True,0.31,0.06,17,54,0.34
Undergraduate,Engineering,2025-05-03,26.79,11,Brainstorming,3,Idea Drafted,True,3.5,Saturday,True,0.41,0.11,21,48,0.23
Undergraduate,Business,2025-05-03,11.11,2,Homework Help,5,Assignment Completed,False,4.9,Thursday,Unknown,0.2,0.02,20,60,0.34
Undergraduate,Biology,2025-05-03,19.87,8,Studying,2,Idea Drafted,True,3.1,Monday,False,0.4,0.08,21,51,0.45
