StudentLevel,Discipline,SessionDate,SessionLengthMin,TotalPrompts,TaskType,AI_AssistanceLevel,FinalOutcome,UsedAgain,SatisfactionRating,DayOfWeek,IsWeekend,PromptsPerMinute,EstimatedSessionCost_USD,StudentAge,AcademicPressureScore,GpaImprovement
Undergraduate,Computer Science,2024-11-03,31.2,11.0,STUDYING,2.0,ASSIGNMENT COMPLETED,true,1.0,sunday,True,0.35,0.11,23.0,87.0,0.22
Undergraduate,psychology,08/25/2024,13.09,6.0,Studying,3.0,Assignment Completed,True,2.0,Sunday,True,0.46,0.06,21.0,27.0,0.06
Undergraduate,Business,,19.22,5.0,Coding,3.0,Assignment Completed,True,3.3,Sunday,True,0.26,0.05,20.0,95.0,0.39
Undergraduate,nan,2025-05-06,3.7,,Coding,3.0,Assignment Completed,True,3.5,Tuesday,False,,0.01,22.0,85.0,0.47
Undergraduate,Psychology,2025-03-18,28.12,9.0,Writing,3.0,Assignment Completed,True,2.9,TUESDAY,False,0.32,0.09,23.0,56.0,0.16
graduate,Business,2025-01-17,7.54,1.0,Coding,5.0,Idea Drafted,True,,FRIDAY,False,0.13,0.01,25.0,15.0,0.09
HIGH SCHOOL,BIOLOGY,2024-09-07,14.6,3.0,Writing,3.0,Assignment Completed,False,1.9,Saturday,True,0.21,0.03,18.0,23.0,0.13
undergraduate,,2024-12-26,9.2,3.0,Writing,5.0,Assignment Completed,True,3.9,thursday,False,0.33,0.03,22.0,70.0,0.09
Undergraduate,Business,2025-06-18,8.15,1.0,brainstorming,3.0,Assignment Completed,TRUE,3.3,Wednesday,False,0.12,0.01,,35.0,0.31
undergraduate,Math,2025-04-14,5.57,1.0,Studying,3.0,  Assignment Completed  ,False,1.4,Monday,False,0.18,0.01,22.0,,0.26
high school,Math,24-02-2025,24.52,6.0,Writing,2.0,assignment completed,False,1.9,Monday,False,0.24,0.06,18.0,43.0,0.43
Undergraduate,Psychology,2024-11-07,11.51,5.0,Coding,3.0,Assignment Completed,FALSE,,THURSDAY,False,,,19.0,86.0,0.14
Undergraduate,  NAN  ,2024-07-05,15.47,6.0,Studying,5.0,Idea Drafted,True,4.9,FRIDAY,False,0.39,0.06,23.0,95.0,0.27
undergraduate,  Business  ,03 Nov 2024,24.13,5.0,WRITING,4.0,Idea Drafted,True,3.7,Sunday,True,0.21,0.05,23.0,66.0,
High School,COMPUTER SCIENCE,,22.51,8.0,writing,3.0,Assignment Completed,True,4.9,Wednesday,False,0.36,0.08,14.0,57.0,0.11
High School,Psychology,22 Nov 2024,22.16,6.0,CODING,2.0,Idea Drafted,True,2.8,Friday,False,0.27,0.06,17.0,57.0,0.45
undergraduate,Business,2025-04-27,6.46,2.0,Writing,5.0,confused,True,5.0,,  True  ,0.31,0.02,19.0,14.0,0.49
High School,Biology,2025-04-13,,4.0,Studying,2.0,Confused,False,1.2,Sunday,true,0.22,0.04,16.0,9.0,0.42
Undergraduate,,2024-12-08,18.26,4.0,Studying,5.0,Assignment Completed,FALSE,4.9,SUNDAY,,0.22,0.04,20.0,,0.27
High School,Engineering,2024-08-03,19.36,6.0,  Studying  ,4.0,Assignment Completed,True,,Saturday,True,0.31,0.06,17.0,54.0,0.34
undergraduate,Engineering,2025-05-03,26.79,11.0,Brainstorming,3.0,Idea Drafted,True,,Saturday,True,0.41,0.11,21.0,48.0,0.23
Undergraduate,Business,09-01-2025,11.11,2.0,Homework Help,5.0,Assignment Completed,False,4.9,Thursday,,,0.02,20.0,60.0,0.34
Undergraduate,Biology,21 Apr 2025,19.87,8.0,Studying,2.0,Idea Drafted,True,3.1,Monday,False,0.4,0.08,21.0,,0.45
Undergraduate,Math,,17.65,4.0,Coding,3.0,Gave Up,  false  ,3.6,Monday,false,0.23,0.04,21.0,93.0,0.03
Graduate,psychology,2024-11-27,8.1,3.0,HOMEWORK HELP,5.0,Idea Drafted,True,4.3,Wednesday,False,0.37,,26.0,,0.2
Undergraduate,Biology,  2024-09-14  ,11.86,2.0,,2.0,Idea Drafted,True,3.2,,True,0.17,0.02,21.0,48.0,0.23
Undergraduate,History,2024-08-28,6.42,2.0,homework help,4.0,Idea Drafted,True,,Wednesday,,0.31,0.02,21.0,41.0,0.11
,,2024/09/05,27.55,7.0,WRITING,3.0,Confused,True,3.5,Thursday,False,0.25,0.07,17.0,16.0,0.32
Undergraduate,Psychology,2025-02-20,27.28,6.0,Studying,2.0,confused,False,3.4,Thursday,  false  ,0.22,0.06,21.0,8.0,0.11
Undergraduate,Engineering,2025-02-26,5.03,2.0,Studying,,confused,False,2.5,Wednesday,False,,0.02,18.0,70.0,0.18
